Startdatum,Einddatum,Hele dag?,Starttijd,Eindtijd,Terugkerend?,Titel,Omschrijving,Categoriën,Toegelaten?,Locatie,Adres,WebURL,URL omschrijving,OV,Entree,Image,Hovers,Clicks,CTR
01/05/2016,01/05/2016,Nee,11:00,18:00,Jaarlijks (ook op feestdagen),Tag der Arbeit,"Vanaf 11.00 uur begint het ‘Myfest’ (letterlijk Maifest) in de Oranienstrasse in Kreuzberg. Een vreselijk gezellig multicultureel feest, met muziek, dans, lekker eten en drinken en een toffe sfeer. Tag der Arbeit is een traditionele feestdag en wordt steevast in Oost-Kreuzberg (SO36) gevierd, omdat de roots van de wijk in de punk- en krakersbeweging liggen.",Officiële feestdagen,Ja,"Van Moritzplatz, tot Kottbusser Tor, tot aan Görlitzer Bahnhof, tot aan de Bethanien Damm",,//www.morgenpost.de/bin/BMO_grafik-206514269.jpg,Plattegrond,U8 Moritzplatz,"0,00",,258,28,"9,21%"
04/05/2016,05/05/2016,Nee,19:30,21:15,Jaarlijks (ook op feestdagen),4 Mei Nationale dodenherdenking – concentratiekamp Sachsenhausen in Oranienburg,"Ben je 4 mei in Berlijn en heb je de behoefte om mee te doen met de Nationale Herdenking op 4 mei? Bezoek dan de Nationale dodenherdenking in het voormalig concentratiekamp Sachsenhausen, net buiten Berlijn. Net als in Nederland worden ook hier alle burgers en militairen herdacht, die sinds het uitbreken van de Tweede Wereldoorlog, in oorlogssituaties of bij vredesmissies, waar dan ook ter wereld, zijn omgekomen.
Sachsenhausen is een bijzondere locatie, omdat er van 1934 tot 1945 veel Nederlanders gevangen hebben gezeten. Tientallen Nederlandse verzetsstrijders zijn er vermoord door de Nazi’s. Meer daarover kun je lezen in mijn blog: <a href=""//wattedoeninberlijn.nl/concentratiekamp-sachsenhausen-berlijn/"">Concentratiekamp Sachsenhausen – Van concentratiekamp tot gedenkteken.</a>
Aanmelden doe je van te voren bij de Nederlandse ambassade. Dat kan via email: bln-tours@minbuza.nl.",Herdenkingen,Ja,Concentratiekamp Sachsenhausen,"Straße der Nationen 22, 16515 Oranienburg",https://www.nederlandwereldwijd.nl/landen/duitsland/activiteiten/2017/05/04/duitsland-dodenherdenking,nederlandwereldwijd.nl/duitsland-dodenherdenking,S Oranienburg,"0,00",,422,44,"9,59%"
15/05/2016,15/05/2016,Nee,12:30,22:30,Nee,"Karneval der Kulturen optocht door Neukölln, Kreuzberg en Schöneberg","Ruim 82 groepen, en 5300 deelnemers zijn er bij de grote optocht bij. Dans lekker mee op Brazilliaanse samba beats, bekijk de grote Chinese leeuwendans en verbaas je over de veelzijdigheid van alle prachtige culturen die Berlijn rijk is. De grote optocht op Pinksterzondag is jaarlijks het hoogtepunt van de Karneval der Kulturen en mag je absoluut niet missen! Route: Hermannplatz over Hasenheide, Gneisenaustrasse, Yorckstrasse, tot aan Möckernstrasse.",Feesten,Ja,Start: Hermannplatz. Einde: Yorckstrasse.,,,,U6 Mehringdamm,"0,00",,154,13,"11,85%"
15/05/2016,15/05/2016,Nee,10:00,18:00,Wekelijks (niet op feestdagen),Breakfast Market in Markthalle Neun,"Elke derde zondag in de maand, is er een heerlijke ontbijtmarkt in Markthalle Neun. Hier kun je allerlei dingen vinden waar je je dag ongetwijfeld mee wil beginnen! Goede koffie, lekkere smoothies, egg benedict, een vietnamese porridge en misschien wel een bloody mary? Hoe dan ook, met een heerlijke markt met lokale producenten, goede koks en zoete bakkers, kun je hier helemaal je lol op. De nmarkt duurt ook nog eens de hele dag, dus voor een late brunch, lunch of andere maaltijd zit je hier sowieso goed!",Ontbijt & Brunch,Ja,Markthalle Neun,"Eisenbahnstrasse 42-43, Kreuzberg",//markthalleneun.de/breakfast-market-stil-in-berlin-birthday-special/,markthalleneun.de,U1 Schlesisches tor,"3,00",,no data,no data,no data
20/05/2016,20/05/2016,Nee,17:00,00:00,Nee,Bite Club Opening party @ Badeschiff,"Berlijns origineelste en bekendste street food organisatie, Bite Club, begint ook weer aan haar seizoen! Deze organisatie staat aan de wieg van de typische foodtruck cultuur die naar Berlijn de hele wereld heeft veroverd. Dus een van hun toffe feesten mag je zeker niet missen! Bij het Badeschiff aan de Spree, kun je op vrijdagavond 20 mei genieten van een heerlijk foodfestival! Geniet van frozen cocktails van Singleton Whisky bar, Mexicaanse drankjes van Sol, craft beer van Stone Brewery en wijntjes van Viniculture. Qua eten kun je je verheugen op een hoop nieuwe gerechten (en namen), zoals de lekkerste bergkäse van Heisser Hobel,Thaise hapjes van Kwan Issan BBQ, Italiaans street food uit Abruzzo van Pic Nick 34 en Jamaican Jerk chicken van Spice Spice Baby. Maar ook vertrouwde street food tentjes van Chutnify en Mogg zijn er bij. Loopt jou het water al in de mond? Mij wel!",Foodmarkten,Ja,Arena Berlin,"Eichenstrasse 4, Treptow",//www.facebook.com/events/219356735107040/,Facebook event,U1 Schlesisches tor,"0,00",,no data,no data,no data
04/06/2016,04/06/2016,Nee,10:00,18:00,Maandelijks (ook op feestdagen),"Dicke Linda, grote boerenmarkt in Neukölln","Is dat niet gewoon een weekmarkt? Niet helemaal, bij Dicke Linda kun je ook allemaal heerlijke hapjes krijgen! Elke zaterdag de Kranoldplatz helemaal vol met leuke kraampjes. Een fijne plek om lokale lekkernijen te proeven en in te slaan voor thuis!",Foodmarkten,Ja,,"Kranoldplatz, Neukölln",//www.facebook.com/events/957257417724219/,Facebook event,S+U Neukölln,"0,00",,no data,no data,no data
04/06/2016,05/06/2016,Ja,,,Nee,Torstrassenfestival,"Op de Torstrasse zitten tientallen bars, cafe’s en andere leuke locaties. Één keer per jaar organiseren zij samen het Torstrassenfestival, waarbij je in al die leuke café’s naar bandjes, dj’s en andere artiesten kunt kijken. Hierdoor ontstaat een superleuke en gezellige sfeer! Line up bestaat dit jaar uit: Alex Cameron, Asbjørn, Bannerman, Darkstar, Heimer, Helen Fry, en nog veel meer artiesten! Tickets (16 euro) en het programma zijn verkrijgbaar via de site.",,Ja,verschillende locaties op de Torstrasse in Berlijn Mitte.,"Torstrasse, Mitte",//www.torstrassenfestival.de/,torstrassenfestival.de,U8 Rosenthaler Platz,"20,00",,no data,no data,no data
05/06/2016,05/06/2016,Ja,,,Nee,IJsjesmarkt ‘SOMMER! SONNE! EIS!’ Naschmarkt in Markthalle Neun,"Met de bekendste ijssalons van Berlijn, hebben ze weer een geweldige markt in het verschiet bij Markthalle Neun. Bekend van <a href=""//wattedoeninberlijn.nl/street-food-thursday/"" rel=""nofollow"">street food Thursday</a> en ander leuke foodmarkten, zijn de evenementen hier gegarandeerd een succes! Nu de zomer echt losbarst, mag je ook deze jaarlijkse markt niet missen.",,Ja,Markthalle Neun,"Eisenbahnstrasse 42/43, Kreuzberg",//www.markthalleneun.de/,markthalleneun.de,U1 Schlesisches tor,"3,00",,no data,no data,no data
11/06/2016,11/06/2016,Nee,10:00,18:00,Nee,"Dicke Linda, grote boerenmarkt in Neukölln","Is dat niet gewoon een weekmarkt? Niet helemaal, bij Dicke Linda kun je ook allemaal heerlijke hapjes krijgen! Elke zaterdag de Kranoldplatz helemaal vol met leuke kraampjes. Een fijne plek om lokale lekkernijen te proeven en in te slaan voor thuis!",,Ja,,"Kranoldplatz, Neukölln",//www.facebook.com/events/957257417724219/,Facebook event,S+U Neukölln,"0,00",,no data,no data,no data
18/06/2016,18/06/2016,Nee,10:00,18:00,Nee,"Dicke Linda, grote boerenmarkt in Neukölln","Is dat niet gewoon een weekmarkt? Niet helemaal, bij Dicke Linda kun je ook allemaal heerlijke hapjes krijgen! Elke zaterdag de Kranoldplatz helemaal vol met leuke kraampjes. Een fijne plek om lokale lekkernijen te proeven en in te slaan voor thuis!",,Ja,,"Kranoldplatz, Neukölln",//www.facebook.com/events/957257417724219/,Facebook event,S+U Neukölln,"0,00",,no data,no data,no data
